代码,名称,开盘价,收盘价
_000020,深华发Ａ,10.15,10.15
_000026,飞亚达,12.8,12.07
_000065,北方国际,9.83,10.09
_000503,国新健康,11.02,10.93
_000506,中润资源,3.56,3.58
_000533,顺钠股份,4.57,4.53
_000534,万泽股份,17.2,18.18
_000639,西王食品,5.36,5.35
_000701,厦门信达,7.44,7.83
_000702,正虹科技,6.04,6.18
_000726,鲁  泰Ａ,8.06,8.3
_000735,罗 牛 山,7.64,7.51
_000758,中色股份,5.8,5.69
_000779,甘咨询,11.38,12.22
_000920,沃顿科技,9.94,10.11
_000937,冀中能源,6.54,6.57
_000987,越秀资本,6.58,6.51
_001979,招商蛇口,13.89,14.81
_002006,精功科技,29.4,29.6
_002012,凯恩股份,5.94,6.29
_002016,世荣兆业,6.14,6.73
_002017,东信和平,15.19,15.2
_002037,保利联合,11.95,11.62
_002066,瑞泰科技,12.73,12.85
_002068,黑猫股份,16.53,16.83
_002094,青岛金王,4.42,4.47
_002117,东港股份,9.09,9.77
_002125,湘潭电化,17.1,15.76
_002168,惠程科技,4.25,4.29
_002197,证通电子,11.18,11.1
_002213,大为股份,17.06,17.3
_002229,鸿博股份,8.12,11.92
_002246,北化股份,10.88,10.98
_002272,川润股份,6.96,7.48
_002295,精艺股份,7.7,7.62
_002342,巨力索具,4.3,4.61
_002347,泰尔股份,7.08,5.52
_002365,永安药业,11.69,11.76
_002383,合众思壮,7.73,7.88
_002384,东山精密,28.66,29.5
_002421,达实智能,4.02,4.0
_002476,宝莫股份,5.66,5.65
_002512,达华智能,5.28,4.4
_002523,天桥起重,3.26,3.35
_002532,天山铝业,8.8,8.52
_002577,雷柏科技,13.18,14.66
_002609,捷顺科技,9.87,9.43
_002632,道明光学,7.55,8.1
_002633,申科股份,10.71,10.84
_002660,茂硕电源,8.82,10.27
_002686,亿利达,7.29,7.13
_002694,顾地科技,5.24,5.42
_002718,友邦吊顶,16.06,16.19
_002769,普路通,9.16,9.53
_002775,文科园林,4.35,4.34
_002777,久远银海,19.1,18.98
_002779,中坚科技,26.46,26.78
_002787,华源控股,7.55,8.08
_002808,恒久科技,16.19,13.87
_002828,贝肯能源,9.14,9.89
_002829,星网宇达,39.51,39.18
_002835,同为股份,20.17,15.95
_002855,捷荣技术,11.35,11.59
_002877,智能自控,12.0,11.16
_002902,铭普光磁,15.5,16.44
_002935,天奥电子,27.97,28.51
_002972,科安达,19.32,19.8
_003036,泰坦股份,14.0,14.01
_600039,四川路桥,12.13,12.57
_600101,明星电力,9.05,9.18
_600106,重庆路桥,5.3,5.24
_600107,美尔雅,6.55,6.64
_600150,中国船舶,23.8,24.05
_600156,华升股份,5.18,5.22
_600191,华资实业,5.86,6.07
_600195,中牧股份,14.3,15.4
_600230,沧州大化,20.9,19.5
_600250,南纺股份,6.02,5.96
_600266,城建发展,4.32,4.59
_600280,中央商场,3.07,3.03
_600287,江苏舜天,5.51,5.55
_600322,天房发展,2.27,2.31
_600348,华阳股份,15.45,15.08
_600390,五矿资本,5.44,5.33
_600497,驰宏锌锗,5.48,5.4
_600501,航天晨光,14.3,14.75
_600533,栖霞建设,3.88,3.91
_600560,金自天正,11.66,11.91
_600562,国睿科技,17.61,17.16
_600571,信雅达,11.15,11.42
_600572,康恩贝,4.85,4.76
_600573,惠泉啤酒,11.03,11.61
_600587,新华医疗,26.1,28.4
_600638,新黄浦,5.8,5.88
_600657,信达地产,5.48,5.52
_600685,中船防务,23.38,23.29
_600756,浪潮软件,16.03,16.1
_600768,宁波富邦,11.68,11.7
_600769,祥龙电业,8.48,8.49
_600775,南京熊猫,10.92,11.22
_600814,杭州解百,7.62,7.54
_600971,恒源煤电,8.48,8.28
_601038,一拖股份,12.52,12.61
_601068,中铝国际,5.17,5.14
_601086,国芳集团,4.19,4.28
_601226,华电重工,6.06,6.56
_601339,百隆东方,5.66,6.57
_601598,中国外运,3.97,3.95
_601872,招商轮船,6.74,7.38
_601928,凤凰传媒,8.05,8.63
_601999,出版传媒,6.88,6.76
_603083,剑桥科技,13.72,16.04
_603089,正裕工业,9.52,9.7
_603106,恒银科技,6.66,6.37
_603161,科华控股,16.57,16.41
_603196,日播时尚,7.63,8.35
_603289,泰瑞机器,12.3,11.81
_603331,百达精工,14.04,15.34
_603356,华菱精工,15.4,15.25
_603398,沐邦高科,30.95,29.24
_603477,巨星农牧,26.64,27.01
_603586,金麒麟,15.48,15.77
_603619,中曼石油,19.04,18.85
_603729,龙韵股份,14.34,14.49
_603798,康普顿,11.91,12.21
_603800,道森股份,33.23,33.34
_603895,天永智能,28.6,27.57
_603999,读者传媒,5.95,6.14
_605086,龙高股份,22.95,23.58
_605123,派克新材,139.36,140.82
_605151,西上海,19.97,20.17
_605366,宏柏新材,16.5,17.55
