代码,名称,开盘价,收盘价
_000006,深振业Ａ,7.2,5.45
_000023,深天地Ａ,14.0,14.5
_000028,国药一致,36.1,38.68
_000058,深 赛 格,7.29,7.48
_000153,丰原药业,15.3,14.45
_000566,海南海药,4.72,4.95
_000617,中油资本,7.3,7.24
_000815,美利云,15.29,13.29
_000989,九 芝 堂,9.55,9.99
_001215,千味央厨,64.22,65.33
_002059,云南旅游,7.35,7.68
_002107,沃华医药,7.08,7.4
_002133,广宇集团,3.8,3.76
_002182,云海金属,22.68,23.54
_002186,全 聚 德,10.85,10.48
_002305,南国置业,3.37,3.09
_002362,汉王科技,16.5,19.34
_002420,毅昌科技,10.9,10.98
_002424,贵州百灵,9.09,9.89
_002476,宝莫股份,5.8,5.75
_002561,徐家汇,11.73,12.31
_002579,中京电子,10.32,9.77
_002697,红旗连锁,5.35,5.64
_002702,海欣食品,6.23,6.63
_002727,一心堂,37.33,34.6
_002777,久远银海,16.9,16.22
_002786,银宝山新,7.59,8.12
_002875,安奈儿,19.89,18.6
_002982,湘佳股份,44.76,42.97
_600050,中国联通,4.8,4.95
_600051,宁波联合,8.16,8.15
_600060,海信视像,13.74,14.76
_600376,首开股份,6.31,6.29
_600435,北方导航,9.99,11.24
_600638,新黄浦,6.12,6.03
_600684,珠江股份,4.13,4.01
_600693,东百集团,4.26,4.97
_600756,浪潮软件,15.6,14.72
_600826,兰生股份,9.57,9.58
_600872,中炬高新,38.7,39.95
_600977,中国电影,14.28,14.25
_601021,春秋航空,57.0,59.28
_601579,会稽山,12.51,12.62
_601858,中国科传,13.0,12.52
_603017,中衡设计,10.12,9.62
_603027,千禾味业,19.95,21.26
_603043,广州酒家,24.45,24.88
_603103,横店影视,14.62,14.44
_603108,润达医疗,11.22,11.78
_603208,江山欧派,60.19,68.33
_603212,赛伍技术,33.7,35.71
_603416,信捷电气,51.8,51.7
_603439,贵州三力,17.97,18.45
_603699,纽威股份,11.15,11.5
_603719,良品铺子,40.28,39.95
_603737,三棵树,117.0,124.96
_603773,沃格光电,17.11,18.57
_603778,乾景园林,7.1,6.38
_603858,步长制药,25.35,26.09
_603860,中公高科,23.59,26.21
_603880,南卫股份,6.51,6.64
_603895,天永智能,26.5,25.69
_605001,威奥股份,10.21,9.43
