代码,名称,开盘价,收盘价
_000807,云铝股份,13.71,13.54
_002053,云南能投,12.54,12.38
_002152,广电运通,10.28,10.85
_002161,远 望 谷,5.68,6.01
_002162,悦心健康,4.96,5.2
_002195,二三四五,2.9,3.04
_002295,精艺股份,7.76,7.7
_002304,洋河股份,185.0,175.5
_002354,天娱数科,4.18,5.05
_002435,长江健康,5.19,5.65
_002532,天山铝业,9.0,8.98
_002621,美吉姆,5.04,5.34
_002762,金发拉比,14.8,12.44
_002863,今飞凯达,6.2,6.4
_002927,泰永长征,13.7,14.16
_002989,中天精装,17.59,18.02
_301076,新瀚新材,28.59,32.07
_600095,湘财股份,9.38,10.17
_600301,南化股份,14.8,16.93
_600335,国机汽车,9.87,9.27
_600477,杭萧钢构,5.72,5.85
_600658,电子城,5.0,5.24
_600729,重庆百货,24.11,24.56
_600831,广电网络,5.97,6.15
_600855,航天长峰,12.85,13.69
_601318,中国平安,53.59,49.6
_603180,金牌厨柜,34.7,33.78
_603198,迎驾贡酒,70.01,66.8
_603358,华达科技,21.71,22.18
_603369,今世缘,58.8,60.36
_603477,巨星农牧,25.05,26.89
_603500,祥和实业,12.0,13.65
_603607,京华激光,14.26,14.76
_603711,香飘飘,15.26,18.95
_603912,佳力图,12.68,13.53
_605089,味知香,66.1,79.05
