代码,名称,开盘价,收盘价
_000025,特  力Ａ,20.34,19.71
_000065,北方国际,9.28,9.65
_000417,合肥百货,4.96,5.12
_000421,南京公用,5.71,5.47
_000430,张家界,7.61,7.7
_000516,国际医学,12.99,12.6
_000524,岭南控股,10.71,11.18
_000539,粤电力Ａ,5.55,5.34
_000543,皖能电力,5.07,4.78
_000561,烽火电子,8.69,8.74
_000573,粤宏远Ａ,4.44,4.56
_000589,贵州轮胎,4.82,5.02
_000596,古井贡酒,242.0,266.18
_000605,渤海股份,6.66,6.62
_000759,中百集团,5.72,5.97
_000886,海南高速,4.66,4.76
_000888,峨眉山Ａ,9.08,8.84
_000929,兰州黄河,9.72,10.28
_000963,华东医药,42.0,44.3
_001212,中旗新材,30.08,30.89
_002040,南 京 港,7.07,7.39
_002051,中工国际,8.92,8.76
_002057,中钢天源,10.04,11.13
_002125,湘潭电化,15.03,15.89
_002164,宁波东力,6.81,6.57
_002181,粤 传 媒,7.3,5.48
_002193,如意集团,7.23,10.05
_002205,国统股份,12.26,11.81
_002349,精华制药,13.45,14.09
_002416,爱施德,10.28,10.35
_002468,申通快递,10.87,11.2
_002512,达华智能,3.97,3.8
_002552,宝鼎科技,15.79,15.43
_002564,天沃科技,5.6,5.97
_002566,益盛药业,9.33,9.79
_002771,真视通,11.3,10.74
_002795,永和智控,9.94,10.01
_002796,世嘉科技,10.5,10.23
_002928,华夏航空,12.8,12.82
_002932,明德生物,65.38,66.26
_003027,同兴环保,28.87,26.8
_301031,中熔电气,173.55,166.31
_600004,白云机场,14.47,15.32
_600007,中国国贸,16.08,16.18
_600029,南方航空,7.45,7.47
_600048,保利发展,16.16,16.45
_600054,黄山旅游,12.63,12.43
_600080,金花股份,8.78,9.17
_600121,郑州煤电,5.74,5.67
_600125,铁龙物流,5.79,5.83
_600130,波导股份,4.6,4.26
_600137,浪莎股份,16.29,16.17
_600138,中青旅,14.4,14.58
_600213,亚星客车,9.62,9.28
_600272,开开实业,10.86,11.06
_600355,精伦电子,3.88,3.54
_600403,大有能源,4.99,5.22
_600444,国机通用,13.99,14.11
_600487,亨通光电,17.03,15.2
_600573,惠泉啤酒,10.74,11.15
_600593,大连圣亚,14.6,14.63
_600600,青岛啤酒,103.97,110.96
_600647,同达创业,16.69,17.49
_600657,信达地产,5.96,5.78
_600698,湖南天雁,5.32,5.14
_600769,祥龙电业,8.34,9.17
_600858,银座股份,5.96,6.18
_601000,唐山港,2.88,2.81
_601128,常熟银行,7.51,7.57
_601668,中国建筑,5.82,5.94
_601728,中国电信,4.41,4.4
_601998,中信银行,4.97,5.11
_603196,日播时尚,7.59,8.02
_603199,九华旅游,27.6,27.17
_603203,快克股份,28.98,27.35
_603301,振德医疗,44.97,46.49
_603555,贵人鸟,3.61,3.84
_603577,汇金通,11.97,11.59
_603596,伯特利,83.25,80.65
_603602,纵横通信,12.0,11.81
_603617,君禾股份,9.23,9.89
_603721,中广天择,17.2,15.79
_603758,秦安股份,8.85,8.64
_603811,诚意药业,17.51,17.32
_603819,神力股份,15.0,16.1
_603855,华荣股份,25.19,24.05
_603997,继峰股份,12.71,13.79
_605133,嵘泰股份,27.88,26.94
_605188,国光连锁,8.46,9.3
_605198,安德利,22.79,20.68
